category,text
관람객,여기 평점보고 속아서 영화보고 억울해서 나도 남기려다가 솔직해져 봅니다. 핵노잼 도망가..열심히 연기한 배우들 생각해서 별 하나는 드려요
관람객,아니 진짜 왤케 답답함?동생인지 확인도 안하고 들여보내고 조우진이 범인인지 확실하지도 않은 상황에서 딸내리면 총 쏘려하고 조우진이 범인이 아니고 범인 말따라 행동하는걸 알게 됐는데도 경찰은 차 세우라면서 자기네 맘대...
관람객,알바 평점에 속지 마세요중간에 보다 나왔습니다코로나 시국에 영화보다 나오긴 처음이요믿지 못하실 분들은 꼭보세요바닷가 장면에서 뛰쳐나올꺼에요그래도 영화 만드신다고 스탭 출연자 모두 고생하셨어요
관람객,재미없습니다. 왜이렇게 평점이 높은지는 모르겠는데 처음부터 끝까지 등장인물부터 스토리까지 답답해 미칠거 같았습니다. 탄산음료 안사갔으면 중간에 나갔을듯하네요.한마디로 고구마 100개 먹은듯한 영화입니다.
관람객,너무 별로에요....
관람객,답답한 내용 싫어하시면 보지 마세요개연성도 너무 떨어지고 몇몇 역할들은 왜 있어야 했는지도 모르겠습니다...제네시스는 멋있네요
관람객,낚였내 평점짜증난다진짜
관람객,오늘 동래cgv에서 보고왔음. 리메이크작인건 나중에 알았고 기대쪼금 했는데 별로네요. 카체이싱도 그냥 무조건 달리기만 하면 카체이싱 인가요?긴장감 하나도 없고 용의자가 동생이라고 속이고 만나는장면도 여친하고 보면서 ...
관람객,"알바 개많네 영화 스토리 코미디시간 아깝고사실 메시지는 우리나라 경찰의 무능함을 꼬집은건가ㅂㅅ은 감독이 펀드에 사기 당하고, 나도 감독한테 사기 당했다"
관람객,차 광고도 아니고 관객들 기만하는 수준
관람객,제네시스 광고 치고 너무 길다
관람객,너무 뻔함. 다음 대사가 뭔지 다 예상됌.
관람객,더럽게 재미없네 긴장두  없고 암것두  없네
관람객,영화 끝나고 생각나는건 제네시스 그리고 조우진 연기…내용은 흠….
관람객,조우진 연기력 보고 5점.. 애들 연기 때문에 집중 안됐음..
관람객,"연기 빼고, 쓰레기 그 자체.중2때 세상에 환멸을 느끼고 쓴 것 같은 개연성 없는 스토리."
관람객,대략 줄거리 유추 가능하나 억지 감동 요소가 있음… 개연성 있는 듯하나 개연성 없음 배우분들의 연기로 끝까지 봄
관람객,몹시 눈물을 억지로 짜내려는 스토리
관람객,아~~~~진짜  짜증난다?
관람객,
관람객,"제네시스 광고인줄 GV80 PPL말고는 기억나는거 없음, 스토리 뻔함 예측 가능 감동도 없고 스토리도 없고 그냥 아 제네시스 광고구나 조우진이 나오는구나 정도.."
관람객,암걸려요 으윽 으윽 어우 ㅠㅠ으윽
관람객,영화는 개연성이다 ..그러므로 이 영화는 0점 경찰의 포위를 뚫고 테러범수준의 범인이 도심한복판에서 어디로 도망간다고? 또 동생인지 확인도 안하고 범인하고 만나게 해준다고?경찰이 범인옆에서 따라가면서  육성으로 부른...
관람객,거지 같은 한국의 현실을 그대로 보여준 영화. 왜 약자만 고통받고 약자만 처벌받고 약자가 악인이 되어야 하는가
관람객,영화가 뭘 말하고 싶은지 모르겠음한줄요약-코스모스가 갑이였다
관람객,폭팔물 용의자(가 아닌 피해자)가 특정됬다고쳐. 용의자 동생(이라고 주장하는 진짜 범인)인 민간인이 경찰 작전이랍시고 폭팔물과 함게 있는 그 용의자에게 자수를 권하러 갈때 이건 아니다 싶더라
관람객,이걸 영화라고 만들었다니.. 조우진 배우님과 남자아이 역할 배우님 연기 잘하시고 나머지는 별로
관람객,소재는참신... 돈은 좀 들인듯한데ㅋ 쥐어짜듯 말안되는데 스토리 개연성! ㅋ완전 고구마 영화! 글고 억지 눈물 쥐어짜개 하지말자에휴 !은행다니는사람은 봐라
관람객,하... 정말짜증나고 재미없는스토리...
관람객,처음으로 영화보면서 담배피러 나갔다옴
관람객,연기자의 연기가 정말 좋았음근데 스토리가 너무 별로임스토리보고 이해 가능한 진부적인거는 고사하고 중간중간 도대체 왜? 라는 의문이 드는 장면들이 있음일단 해안가에서 범인이 주인공동생인첟하녀 경찰을 통해 가까이 간게 ...
관람객,몰입감도 없어 내용도 없어 뭐 평점중에 음악이 좋단 댓글도 있던데 뭔… 마지막에 신파로 감동씬 우겨넣는 장면에서 노래 딱 나오는데 아~ 돈아깝단 생각만 들더라…글고 우리나라 경찰 무능력한건 몇OO째 유행이냐… 액션이...
